commute_record_id,company_name,nse_code,sector,employee_id,county_residence,commute_mode,one_way_km,working_days_pa,annual_commute_km,ef_kgco2e_per_km,emission_kgco2e,emission_tco2e,scope,category,data_source,survey_year,anomaly_flag,fy_year
CMT-002982,Welch Smith and Clarke,NNU,Banking & Finance,EMP-NNU-0042,Eldoret,private_car,25.4,216,10972.8,0.17,1865.376,1.865376,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001205,Hardy-Ford,ZGX,Healthcare,EMP-ZGX-0005,Nairobi,matatu_14seater,12.8,198,5068.8,0.089,451.123,0.451123,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002721,Howard PLC,UQK,Real Estate,EMP-UQK-0021,Nyeri,matatu_14seater,26.5,223,11819.0,0.089,1051.891,1.051891,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001955,Stokes-Thomas,OYZ,Real Estate,EMP-OYZ-0035,Nakuru,matatu_14seater,11.8,199,4696.4,0.089,417.98,0.41798,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001227,Hardy-Ford,ZGX,Healthcare,EMP-ZGX-0027,Mombasa,private_car,27.4,199,10905.2,0.17,1853.884,1.853884,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000466,Goodwin Ltd,HQX,Manufacturing,EMP-HQX-0046,Thika,matatu_14seater,11.4,185,4218.0,0.089,375.402,0.375402,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002145,Miles-Jackson,PDW,Construction,EMP-PDW-0045,Kisii,matatu_14seater,12.6,236,5947.2,0.089,529.301,0.529301,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000552,Crawford Shah and Brown,TDK,Energy & Petroleum,EMP-TDK-0012,Kisii,private_car,22.2,192,8524.8,0.17,1449.216,1.449216,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000839,Freeman Inc,DPQ,Retail & FMCG,EMP-DPQ-0059,Nakuru,private_car,15.9,192,6105.6,0.17,1037.952,1.037952,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001514,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0014,Meru,private_car,23.5,209,9823.0,0.17,1669.91,1.66991,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003787,Williams Cook and Thomas,KKT,Healthcare,EMP-KKT-0007,Thika,private_car,24.9,227,11304.6,0.17,1921.782,1.921782,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001504,Williams Sutton and Hewitt,KZL,Healthcare,EMP-KZL-0004,Machakos,taxi_cab,17.8,212,7547.2,0.17,1283.024,1.283024,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001371,Fletcher-Harper,QUZ,Real Estate,EMP-QUZ-0051,Nairobi,matatu_14seater,15.0,230,6900.0,0.089,614.1,0.6141,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003489,Richards PLC,CCU,Insurance,EMP-CCU-0009,Nyeri,walk_or_cycle,4.2,207,1738.8,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003796,Williams Cook and Thomas,KKT,Healthcare,EMP-KKT-0016,Mombasa,private_car,28.6,184,10524.8,0.17,1789.216,1.789216,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002610,Pearce Gilbert and Kennedy,YBK,Healthcare,EMP-YBK-0030,Nairobi,matatu_14seater,21.3,194,8264.4,0.089,735.532,0.735532,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000110,Fuller LLC,SXB,Agriculture,EMP-SXB-0050,Mombasa,matatu_14seater,18.3,186,6807.6,0.089,605.876,0.605876,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001594,Hunter LLC,LTR,Construction,EMP-LTR-0034,Machakos,private_car,29.6,206,12195.2,0.17,2073.184,2.073184,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003151,Evans-Ford,YBV,Agriculture,EMP-YBV-0031,Thika,boda_boda,19.1,219,8365.8,0.113,945.335,0.945335,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001718,Watson Allen and Thomson,LCW,Construction,EMP-LCW-0038,Machakos,boda_boda,14.2,237,6730.8,0.113,760.58,0.76058,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002776,Khan Walker and John,VBZ,Manufacturing,EMP-VBZ-0016,Machakos,walk_or_cycle,4.5,202,1818.0,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002448,Potter-Cooper,KNK,Agriculture,EMP-KNK-0048,Machakos,private_car,24.7,226,11164.4,0.17,1897.948,1.897948,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002553,Simpson Fletcher and Johnson,SRF,Agriculture,EMP-SRF-0033,Nyeri,walk_or_cycle,2.5,204,1020.0,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002081,Simpson-Robinson,VFA,Telecommunications,EMP-VFA-0041,Kisumu,private_car,16.5,226,7458.0,0.17,1267.86,1.26786,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001642,Long-Lewis,IXG,Insurance,EMP-IXG-0022,Eldoret,private_car,26.0,204,10608.0,0.17,1803.36,1.80336,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002766,Khan Walker and John,VBZ,Manufacturing,EMP-VBZ-0006,Kisii,boda_boda,8.2,189,3099.6,0.113,350.255,0.350255,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002230,Moore Chapman and Williams,JCE,Telecommunications,EMP-JCE-0010,Eldoret,matatu_14seater,20.6,190,7828.0,0.089,696.692,0.696692,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000496,Jackson-Watkins,IUI,Healthcare,EMP-IUI-0016,Nairobi,private_car,13.5,188,5076.0,0.17,862.92,0.86292,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003428,Hunt LLC,XQI,Agriculture,EMP-XQI-0008,Thika,matatu_14seater,20.8,187,7779.2,0.089,692.349,0.692349,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003311,Kennedy Dale and Wilson,WGW,Healthcare,EMP-WGW-0011,Nairobi,company_bus,37.7,208,15683.2,0.029,454.813,0.454813,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001234,Hardy-Ford,ZGX,Healthcare,EMP-ZGX-0034,Mombasa,boda_boda,9.0,230,4140.0,0.113,467.82,0.46782,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003563,Reynolds Webb and Webb,MPR,Healthcare,EMP-MPR-0023,Mombasa,private_car,19.0,216,8208.0,0.17,1395.36,1.39536,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000880,Bartlett-White,MXD,Retail & FMCG,EMP-MXD-0040,Kisii,taxi_cab,22.7,190,8626.0,0.17,1466.42,1.46642,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003993,Smith Ltd,CXU,Insurance,EMP-CXU-0033,Mombasa,matatu_14seater,24.1,213,10266.6,0.089,913.727,0.913727,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-001186,Middleton Johnson and Kelly,SMP,Insurance,EMP-SMP-0046,Nyeri,private_car,29.4,203,11936.4,0.17,2029.188,2.029188,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002882,Cartwright-Payne,LRT,Manufacturing,EMP-LRT-0002,Nyeri,matatu_14seater,15.6,193,6021.6,0.089,535.922,0.535922,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003997,Smith Ltd,CXU,Insurance,EMP-CXU-0037,Nyeri,boda_boda,12.0,196,4704.0,0.113,531.552,0.531552,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002597,Pearce Gilbert and Kennedy,YBK,Healthcare,EMP-YBK-0017,Meru,company_bus,51.7,239,24712.6,0.029,716.665,0.716665,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002407,Potter-Cooper,KNK,Agriculture,EMP-KNK-0007,Nyeri,private_car,32.7,204,13341.6,0.17,2268.072,2.268072,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000212,Johnson Kirk and Stewart,BUW,Energy & Petroleum,EMP-BUW-0032,Meru,taxi_cab,10.3,238,4902.8,0.17,833.476,0.833476,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002878,Chamberlain Payne and Webster,XDT,Telecommunications,EMP-XDT-0058,Eldoret,company_bus,55.3,223,24663.8,0.029,715.25,0.71525,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002584,Pearce Gilbert and Kennedy,YBK,Healthcare,EMP-YBK-0004,Meru,company_bus,48.2,185,17834.0,0.029,517.186,0.517186,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003781,Williams Cook and Thomas,KKT,Healthcare,EMP-KKT-0001,Machakos,boda_boda,9.1,215,3913.0,0.113,442.169,0.442169,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002412,Potter-Cooper,KNK,Agriculture,EMP-KNK-0012,Nairobi,company_bus,26.8,198,10612.8,0.029,307.771,0.307771,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-003478,Hunt LLC,XQI,Agriculture,EMP-XQI-0058,Meru,private_car,22.3,222,9901.2,0.17,1683.204,1.683204,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-000034,Hicks Smith and Marsden,QVW,Banking & Finance,EMP-QVW-0034,Eldoret,company_bus,29.9,190,11362.0,0.029,329.498,0.329498,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-002950,Welch Smith and Clarke,NNU,Banking & Finance,EMP-NNU-0010,Kisumu,matatu_14seater,25.6,187,9574.4,0.089,852.122,0.852122,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
