record_id,company_name,nse_code,sector,county,vehicle_id,vehicle_class,fuel_type,transaction_date,month,quarter,fuel_station_brand,fuel_station_area,fuel_litres,fuel_price_ksh_per_l,fuel_cost_ksh,gps_km_driven,defra_ef_kgco2e_per_l,kenya_road_adj,emission_kgco2e,emission_tco2e,scope,data_source,extraction_confidence,anomaly_flag,anomaly_type,fy_year
FC-000064,Martin Allen and Brown,CKA,Construction,Nakuru,CKA-MTR-015,petrol_bike,petrol,2024-01-16,1,1,Rubis Energy,Thika Road,8.45,209.45,1769.85,184.0,2.296,1.18,19.401,0.019401,Scope 1,Fuel card statement,0.9567,0,clean,2024
FC-002684,White-Kerr,PSF,Agriculture,Eldoret,PSF-SUV-007,petrol_suv,petrol,2024-08-10,8,3,Gulf Energy,Industrial Area,37.98,213.56,8110.86,255.3,2.311,1.18,87.772,0.087772,Scope 1,Fuel card statement,0.9272,0,clean,2024
FC-000103,Chambers Inc,NAF,Manufacturing,Meru,NAF-SUV-023,petrol_suv,petrol,2024-12-23,12,4,Rubis Energy,Upperhill,12.68,208.53,2644.22,83.7,2.311,1.18,29.303,0.029303,Scope 1,Fuel card statement,0.9605,0,clean,2024
FC-002692,White-Kerr,PSF,Agriculture,Eldoret,PSF-VAN-004,diesel_van,diesel,2024-07-08,7,3,Oryx Energies,Upper Hill,21.52,204.14,4392.99,172.2,2.64,1.18,56.813,0.056813,Scope 1,Fuel card statement,0.9306,0,clean,2024
FC-000417,Rose-Newton,WWJ,Banking & Finance,Nyeri,WWJ-TRK-002,diesel_truck,diesel,2024-01-14,1,1,Rubis Energy,Upper Hill,77.1,199.92,15413.52,232.5,2.64,1.18,203.544,0.203544,Scope 1,Fuel card statement,0.9646,0,clean,2024
FC-001265,Glover Ltd,ZND,Banking & Finance,Nyeri,ZND-SUV-020,petrol_suv,petrol,2024-11-07,11,4,Rubis Energy,Upper Hill,45.93,209.97,9643.83,310.7,2.311,1.18,106.144,0.106144,Scope 1,Fuel card statement,0.9833,0,clean,2024
FC-000094,Chambers Inc,NAF,Manufacturing,Meru,NAF-VAN-009,diesel_van,diesel,2024-04-15,4,2,Vivo Energy (Shell),Upperhill,5.22,194.47,1015.15,43.4,2.64,1.18,13.781,0.013781,Scope 1,Fuel card statement,0.9624,0,clean,2024
FC-001539,Harvey Ltd,BGR,Insurance,Nakuru,BGR-CAR-009,petrol_saloon,petrol,2024-08-23,8,3,Oryx Energies,Upperhill,12.76,210.97,2692.04,130.2,2.311,1.18,29.488,0.029488,Scope 1,Fuel card statement,0.9584,0,clean,2024
FC-000568,Scott-Walker,HYR,Real Estate,Nakuru,HYR-TRK-004,diesel_truck,diesel,2024-04-03,4,2,Galana Oil,Upper Hill,13.81,201.99,2789.46,41.5,2.64,1.18,36.458,0.036458,Scope 1,Fuel card statement,0.9723,0,clean,2024
FC-001042,Richards Sykes and Peters,TNC,Construction,Eldoret,TNC-4WD-020,petrol_4wd,petrol,2024-09-22,9,3,Vivo Energy (Shell),Kilimani,34.25,214.54,7348.05,207.0,2.64,1.18,90.42,0.09042,Scope 1,Fuel card statement,0.9884,0,clean,2024
