company_id,company_name,nse_code,sector,county_hq,fy_year,revenue_ksh_millions,fleet_size_vehicles,scope1_tco2e,s3_cat6_tco2e,s3_cat7_tco2e,total_tco2e,fy23_total_tco2e,yoy_change_pct,intensity_tco2e_per_ksh_m,uncertainty_pct_95ci,ci_low_tco2e,ci_high_tco2e,defra_ef_version,ipcc_gwp_version,ketraco_grid_ef,kenya_road_adj,tier_scope1,tier_s3c6,tier_s3c7,nse_compliant,xbrl_taxonomy,gri_305_aligned,consent_federated
NSE-037,Patterson-Singh,NTZ,Insurance,Eldoret,2024,69941.48,196,5988.5,2491.32,1703.98,10183.8,10202.84,-0.19,0.1456,7.33,9437.33,10930.27,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-017,Field-Thompson,ZHG,Insurance,Machakos,2024,18512.25,148,13494.96,2222.75,1932.41,17650.12,18176.0,-2.89,0.9534,6.59,16486.98,18813.26,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-005,White Hargreaves and Jordan,CAC,Insurance,Kisii,2024,845.23,140,14797.56,6533.4,2617.98,23948.94,25960.25,-7.75,28.3342,6.71,22341.97,25555.91,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-010,Rhodes Stone and Davis,FJB,Telecommunications,Nairobi,2024,23791.17,107,13775.54,2469.52,2904.77,19149.83,18439.27,3.85,0.8049,3.65,18450.86,19848.8,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-046,Sharp Charlton and Simpson,YKA,Telecommunications,Thika,2024,56071.75,188,6009.51,1131.44,1214.71,8355.66,8765.58,-4.68,0.149,7.55,7724.81,8986.51,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-041,Coles LLC,GPS,Healthcare,Machakos,2024,49346.24,15,724.79,207.75,78.71,1011.25,912.77,10.79,0.0205,7.49,935.51,1086.99,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-062,Fletcher PLC,ZKF,Telecommunications,Eldoret,2024,69157.57,78,14724.47,6479.42,1577.13,22781.02,24862.88,-8.37,0.3294,4.57,21739.93,23822.11,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-006,Law Taylor and Morley,IYP,Banking & Finance,Mombasa,2024,8435.39,57,13390.24,2674.15,2733.9,18798.29,19539.01,-3.79,2.2285,4.22,18005.0,19591.58,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-065,Butler-Spencer,MDG,Agriculture,Meru,2024,12361.66,71,10340.46,2561.03,1715.37,14616.86,13229.97,10.48,1.1824,7.24,13558.6,15675.12,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-013,Grant Blackburn and Jones,OMQ,Banking & Finance,Kisii,2024,26435.12,177,14316.21,5624.59,2110.39,22051.19,21236.96,3.83,0.8342,7.29,20443.66,23658.72,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-026,Newton Cox and Adams,DDU,Banking & Finance,Nairobi,2024,67692.25,153,8903.54,2074.94,1396.45,12374.93,11160.02,10.89,0.1828,5.57,11685.65,13064.21,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-060,French Cross and Middleton,FVX,Insurance,Eldoret,2024,70021.63,53,7725.72,1747.26,1175.9,10648.88,11576.07,-8.01,0.1521,6.22,9986.52,11311.24,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-029,Wilkinson-Stewart,YPL,Construction,Kisii,2024,75978.72,66,7814.3,2457.79,789.83,11061.92,11465.66,-3.52,0.1456,3.74,10648.2,11475.64,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-001,Bennett-Evans,ARK,Healthcare,Thika,2024,62176.04,140,13163.02,3205.35,2374.55,18742.92,19389.66,-3.34,0.3014,6.24,17573.36,19912.48,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
NSE-063,White-Hurst,VAQ,Real Estate,Thika,2024,38541.58,17,5643.38,1826.66,1557.1,9027.14,10260.07,-12.02,0.2342,7.15,8381.7,9672.58,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,0
NSE-035,Bell Roberts and Wells,YCC,Manufacturing,Mombasa,2024,17957.37,161,9829.66,2318.67,2844.66,14992.99,14021.68,6.93,0.8349,4.99,14244.84,15741.14,DEFRA 2024,AR6 100-year,0.392,1.18,Tier 2,Tier 2,Tier 1,1,IFRS S2,1,1
