gps_record_id,fuel_record_id,company_name,nse_code,vehicle_id,vehicle_class,transaction_date,gps_km_logged,fuel_declared_l,expected_fuel_l,delta_fuel_l,cross_validation,match_confidence,anomaly_flag,anomaly_type
GPS-000064,FC-000064,Martin Allen and Brown,CKA,CKA-MTR-015,petrol_bike,2024-01-16,181.4,8.45,8.56,-0.11,pass,0.9311,0,clean
GPS-002684,FC-002684,White-Kerr,PSF,PSF-SUV-007,petrol_suv,2024-08-10,258.5,37.98,38.13,-0.15,pass,0.9617,0,clean
GPS-000103,FC-000103,Chambers Inc,NAF,NAF-SUV-023,petrol_suv,2024-12-23,82.7,12.68,12.2,0.48,pass,0.9322,0,clean
GPS-002692,FC-002692,White-Kerr,PSF,PSF-VAN-004,diesel_van,2024-07-08,166.8,21.52,20.67,0.85,pass,0.979,0,clean
GPS-000417,FC-000417,Rose-Newton,WWJ,WWJ-TRK-002,diesel_truck,2024-01-14,240.5,77.1,79.46,-2.36,pass,0.9327,0,clean
GPS-001265,FC-001265,Glover Ltd,ZND,ZND-SUV-020,petrol_suv,2024-11-07,310.3,45.93,45.77,0.16,pass,0.9316,0,clean
GPS-000094,FC-000094,Chambers Inc,NAF,NAF-VAN-009,diesel_van,2024-04-15,41.2,5.22,5.1,0.12,pass,0.939,0,clean
GPS-001539,FC-001539,Harvey Ltd,BGR,BGR-CAR-009,petrol_saloon,2024-08-23,130.7,12.76,12.65,0.11,pass,0.9832,0,clean
GPS-000568,FC-000568,Scott-Walker,HYR,HYR-TRK-004,diesel_truck,2024-04-03,41.0,13.81,13.55,0.26,pass,0.9748,0,clean
GPS-001042,FC-001042,Richards Sykes and Peters,TNC,TNC-4WD-020,petrol_4wd,2024-09-22,212.3,34.25,35.07,-0.82,pass,0.9375,0,clean
GPS-001403,FC-001403,Stanley Inc,LND,LND-BUS-002,diesel_bus,2024-05-16,339.3,73.24,72.07,1.17,pass,0.9482,0,clean
GPS-000323,FC-000323,Bibi-Goddard,OVQ,OVQ-CAR-003,petrol_saloon,2024-08-16,156.2,14.98,15.11,-0.13,pass,0.965,0,clean
GPS-002298,FC-002298,Hicks Harvey and Lowe,YFS,YFS-VAN-018,diesel_van,2024-09-03,272.3,33.99,33.74,0.25,pass,0.9324,0,clean
GPS-001125,FC-001125,Dobson Ltd,PDT,PDT-CAR-001,petrol_saloon,2024-08-15,162.2,15.16,15.69,-0.53,pass,0.951,0,clean
GPS-000602,FC-000602,Lynch-Patel,VUF,VUF-CAR-015,petrol_saloon,2024-03-24,115.7,11.59,11.2,0.39,pass,0.9664,0,clean
GPS-000742,FC-000742,Hughes-Baker,GGO,GGO-SUV-007,petrol_suv,2024-03-11,222.8,32.2,32.86,-0.66,pass,0.9491,0,clean
GPS-001128,FC-001128,Coates Chadwick and Williams,XPM,XPM-SUV-013,petrol_suv,2024-03-04,192.1,27.45,28.33,-0.88,pass,0.9756,0,clean
GPS-001103,FC-001103,Dobson Ltd,PDT,PDT-SUV-018,petrol_suv,2024-04-26,154.3,22.21,22.76,-0.55,pass,0.9795,0,clean
GPS-001492,FC-001492,Lawrence-Bibi,BQF,BQF-SUV-016,petrol_suv,2024-06-01,137.1,19.73,20.22,-0.49,pass,0.9889,0,clean
GPS-000045,FC-000045,Brown Jones and Hughes,AHF,AHF-4WD-008,petrol_4wd,2024-02-25,145.0,24.32,23.95,0.37,pass,0.9302,0,clean
GPS-001557,FC-001557,Harvey Ltd,BGR,BGR-TRK-001,diesel_truck,2024-12-19,408.0,134.3,134.8,-0.5,pass,0.9366,0,clean
GPS-002046,FC-002046,Cunningham and Sons,EHZ,EHZ-CAR-001,petrol_saloon,2024-04-29,389.9,39.24,37.73,1.51,pass,0.9887,0,clean
GPS-000053,FC-000053,Martin Allen and Brown,CKA,CKA-SUV-007,petrol_suv,2024-09-26,210.9,30.44,31.11,-0.67,pass,0.9337,0,clean
GPS-002093,FC-002093,Richardson LLC,BIB,BIB-SUV-003,petrol_suv,2024-06-14,212.5,32.05,31.34,0.71,pass,0.9535,0,clean
GPS-002872,FC-002872,Thompson Ltd,CYR,CYR-4WD-008,petrol_4wd,2024-07-07,122.6,19.67,20.25,-0.58,pass,0.9688,0,clean
GPS-000437,FC-000437,Rose-Newton,WWJ,WWJ-CAR-009,petrol_saloon,2024-03-07,197.2,19.83,19.08,0.75,pass,0.9542,0,clean
GPS-002032,FC-002032,Cunningham and Sons,EHZ,EHZ-CAR-001,petrol_saloon,2024-03-25,248.6,23.6,24.05,-0.45,pass,0.9428,0,clean
GPS-002678,FC-002678,White-Kerr,PSF,PSF-CAR-011,petrol_saloon,2024-05-13,396.2,37.49,38.34,-0.85,pass,0.9555,0,clean
GPS-002554,FC-002554,Clark-Webster,PZR,PZR-CAR-016,petrol_saloon,2024-08-04,113.0,11.18,10.93,0.25,pass,0.9834,0,clean
GPS-000204,FC-000204,Patel LLC,SIE,SIE-SUV-006,petrol_suv,2024-08-02,83.2,11.81,12.27,-0.46,pass,0.9876,0,clean
GPS-002207,FC-002207,Williams Gibson and Ford,DXG,DXG-CAR-003,petrol_saloon,2024-05-02,204.8,20.54,19.82,0.72,pass,0.934,0,clean
GPS-002273,FC-002273,Norris-Morris,QKP,QKP-4WD-003,petrol_4wd,2024-10-13,325.8,54.8,53.82,0.98,pass,0.9784,0,clean
GPS-001345,FC-001345,Holmes Group,ENP,ENP-MTR-002,petrol_bike,2024-12-03,156.4,7.38,7.38,-0.0,pass,0.9504,0,clean
GPS-001584,FC-001584,Barrett Kent and Lee,DYO,DYO-CAR-014,petrol_saloon,2024-03-25,310.1,29.57,30.01,-0.44,pass,0.9555,0,clean
GPS-002574,FC-002574,Jones Group,HRY,HRY-SUV-010,petrol_suv,2024-12-28,61.3,9.16,9.04,0.12,pass,0.9364,0,clean
GPS-001962,FC-001962,Adams Shepherd and Wilson,EAK,EAK-CAR-021,petrol_saloon,2024-02-23,251.9,24.5,24.37,0.13,pass,0.982,0,clean
GPS-000271,FC-000271,Clarke-Smith,USN,USN-SUV-018,petrol_suv,2024-09-03,51.3,7.78,7.57,0.21,pass,0.9686,0,clean
GPS-000299,FC-000299,Clarke-Smith,USN,USN-CAR-003,petrol_saloon,2024-02-06,249.7,24.53,24.16,0.37,pass,0.9862,0,clean
GPS-002424,FC-002424,Coates-Andrews,AQO,AQO-VAN-014,diesel_van,2024-07-22,314.9,40.42,39.02,1.4,pass,0.9557,0,clean
