narrative_id,company_name,nse_code,sector,fy_year,scope1_tco2e,total_tco2e,intensity,uncertainty_pct,scope1_narrative,intensity_narrative,uncertainty_narrative,recommendation_narrative,full_narrative
NAR-00096,Wilkinson-Stewart,YPL,Construction,2024,7814.3,11061.92,0.1456,3.74,"The company's direct fleet emissions totalled 7814 tCO2e in FY2024, representing 71% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","The company achieved an emission intensity of 0.15 tCO2e/KSh M, a reduction of 3.5% versus FY2023.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 10648–11476 tCO2e (±3.7%).",Transitioning 39% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 647 tCO2e annually at approximately KSh 12271 per tonne avoided.,"The company's direct fleet emissions totalled 7814 tCO2e in FY2024, representing 71% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. The company achieved an emission intensity of 0.15 tCO2e/KSh M, a reduction of 3.5% versus FY2023. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 10648–11476 tCO2e (±3.7%). Transitioning 39% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 647 tCO2e annually at approximately KSh 12271 per tonne avoided."
NAR-00016,Cunningham-Nolan,PSD,Real Estate,2024,1678.78,2220.2,0.0462,7.49,"The company's direct fleet emissions totalled 1679 tCO2e in FY2024, representing 76% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","Transport emission intensity stood at 0.05 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 2054–2386 tCO2e (±7.5%).",A remote-work policy covering 39% of office-based staff is projected to reduce Scope 3 Category 7 commute emissions by 130 tCO2e per year.,"The company's direct fleet emissions totalled 1679 tCO2e in FY2024, representing 76% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. Transport emission intensity stood at 0.05 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 2054–2386 tCO2e (±7.5%). A remote-work policy covering 39% of office-based staff is projected to reduce Scope 3 Category 7 commute emissions by 130 tCO2e per year."
NAR-00031,Wilson Group,ZYY,Construction,2024,14986.56,20189.18,0.4011,4.94,"The company's direct fleet emissions totalled 14987 tCO2e in FY2024, representing 74% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","The company achieved an emission intensity of 0.40 tCO2e/KSh M, a reduction of 2.9% versus FY2023.","The 95% confidence interval on the total emission figure is ±4.9%, yielding a range of 19192–21187 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 44%, saving 1332 tCO2e annually.","The company's direct fleet emissions totalled 14987 tCO2e in FY2024, representing 74% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. The company achieved an emission intensity of 0.40 tCO2e/KSh M, a reduction of 2.9% versus FY2023. The 95% confidence interval on the total emission figure is ±4.9%, yielding a range of 19192–21187 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 44%, saving 1332 tCO2e annually."
NAR-00159,Wright-Palmer,PAN,Banking & Finance,2024,13865.09,19997.53,0.936,6.11,"Scope 1 emissions of 13865 tCO2e arise from direct combustion of petrol and diesel in the company's 84 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data).","Emission intensity was 0.94 tCO2e per KSh million revenue, compared to a sector average of 1.03.","The 95% confidence interval on the total emission figure is ±6.1%, yielding a range of 18776–21219 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Transitioning 21% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 630 tCO2e annually at approximately KSh 13658 per tonne avoided.,"Scope 1 emissions of 13865 tCO2e arise from direct combustion of petrol and diesel in the company's 84 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data). Emission intensity was 0.94 tCO2e per KSh million revenue, compared to a sector average of 1.03. The 95% confidence interval on the total emission figure is ±6.1%, yielding a range of 18776–21219 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Transitioning 21% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 630 tCO2e annually at approximately KSh 13658 per tonne avoided."
NAR-00129,Fletcher PLC,ZKF,Telecommunications,2024,14724.47,22781.02,0.3294,4.57,"The company's direct fleet emissions totalled 14724 tCO2e in FY2024, representing 65% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","Transport emission intensity stood at 0.33 tCO2e per KSh million revenue, placing the company in the third quartile of the NSE peer group.","The 95% confidence interval on the total emission figure is ±4.6%, yielding a range of 21740–23822 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",A remote-work policy covering 24% of office-based staff is projected to reduce Scope 3 Category 7 commute emissions by 820 tCO2e per year.,"The company's direct fleet emissions totalled 14724 tCO2e in FY2024, representing 65% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. Transport emission intensity stood at 0.33 tCO2e per KSh million revenue, placing the company in the third quartile of the NSE peer group. The 95% confidence interval on the total emission figure is ±4.6%, yielding a range of 21740–23822 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. A remote-work policy covering 24% of office-based staff is projected to reduce Scope 3 Category 7 commute emissions by 820 tCO2e per year."
NAR-00116,Stone-Abbott,IYF,Real Estate,2024,2480.96,3946.99,0.244,6.73,"The company's direct fleet emissions totalled 2481 tCO2e in FY2024, representing 63% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","The company achieved an emission intensity of 0.24 tCO2e/KSh M, a increase of 5.9% versus FY2023.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 3681–4213 tCO2e (±6.7%).",Transitioning 44% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 261 tCO2e annually at approximately KSh 10305 per tonne avoided.,"The company's direct fleet emissions totalled 2481 tCO2e in FY2024, representing 63% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. The company achieved an emission intensity of 0.24 tCO2e/KSh M, a increase of 5.9% versus FY2023. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 3681–4213 tCO2e (±6.7%). Transitioning 44% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 261 tCO2e annually at approximately KSh 10305 per tonne avoided."
NAR-00070,Murray LLC,PHO,Retail & FMCG,2024,6257.99,10090.84,0.1392,4.74,"The company's direct fleet emissions totalled 6258 tCO2e in FY2024, representing 62% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","Emission intensity was 0.14 tCO2e per KSh million revenue, compared to a sector average of 1.03.","The 95% confidence interval on the total emission figure is ±4.7%, yielding a range of 9613–10569 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Transitioning 44% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 666 tCO2e annually at approximately KSh 14921 per tonne avoided.,"The company's direct fleet emissions totalled 6258 tCO2e in FY2024, representing 62% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. Emission intensity was 0.14 tCO2e per KSh million revenue, compared to a sector average of 1.03. The 95% confidence interval on the total emission figure is ±4.7%, yielding a range of 9613–10569 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Transitioning 44% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 666 tCO2e annually at approximately KSh 14921 per tonne avoided."
NAR-00171,Patterson-Singh,NTZ,Insurance,2024,5988.5,10183.8,0.1456,7.33,"Scope 1 emissions of 5988 tCO2e arise from direct combustion of petrol and diesel in the company's 196 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data).","Emission intensity was 0.15 tCO2e per KSh million revenue, compared to a sector average of 1.03.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 9437–10930 tCO2e (±7.3%).",Transitioning 32% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 489 tCO2e annually at approximately KSh 11182 per tonne avoided.,"Scope 1 emissions of 5988 tCO2e arise from direct combustion of petrol and diesel in the company's 196 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data). Emission intensity was 0.15 tCO2e per KSh million revenue, compared to a sector average of 1.03. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 9437–10930 tCO2e (±7.3%). Transitioning 32% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 489 tCO2e annually at approximately KSh 11182 per tonne avoided."
NAR-00175,Coles LLC,GPS,Healthcare,2024,724.79,1011.25,0.0205,7.49,"The company's direct fleet emissions totalled 725 tCO2e in FY2024, representing 72% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","The company achieved an emission intensity of 0.02 tCO2e/KSh M, a increase of 10.8% versus FY2023.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 936–1087 tCO2e (±7.5%).",Transitioning 49% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 74 tCO2e annually at approximately KSh 13477 per tonne avoided.,"The company's direct fleet emissions totalled 725 tCO2e in FY2024, representing 72% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. The company achieved an emission intensity of 0.02 tCO2e/KSh M, a increase of 10.8% versus FY2023. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 936–1087 tCO2e (±7.5%). Transitioning 49% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 74 tCO2e annually at approximately KSh 13477 per tonne avoided."
NAR-00046,Sharp Charlton and Simpson,YKA,Telecommunications,2024,6009.51,8355.66,0.149,7.55,"Scope 1 emissions of 6010 tCO2e arise from direct combustion of petrol and diesel in the company's 188 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data).","Transport emission intensity stood at 0.15 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 7725–8987 tCO2e (±7.5%).",Transitioning 38% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 476 tCO2e annually at approximately KSh 7573 per tonne avoided.,"Scope 1 emissions of 6010 tCO2e arise from direct combustion of petrol and diesel in the company's 188 vehicle fleet, calculated using DEFRA 2024 mobile combustion factors at Tier 2 by vehicle class, adjusted for Kenyan road conditions (+18% per NTSA data). Transport emission intensity stood at 0.15 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 7725–8987 tCO2e (±7.5%). Transitioning 38% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 476 tCO2e annually at approximately KSh 7573 per tonne avoided."
