travel_record_id,company_name,nse_code,sector,travel_date,month,quarter,origin_airport,destination_airport,flight_type,cabin_class,passengers,distance_km,ef_kgco2e_per_pkm,rfi_factor,emission_kgco2e,emission_tco2e,scope,category,data_source,cost_ksh,extraction_confidence,anomaly_flag,fy_year
TRV-000395,Vaughan Quinn and Ford,BVM,Real Estate,2024-01-14,1,1,NBO,KIS,short_haul,economy,2,2736,0.3002,1.9,1642.694,1.642694,Scope 3,Cat 6 — Business travel,SAP travel booking export,58851.03,0.9423,0,2024
TRV-000882,Lawrence-Hurst,FVI,Telecommunications,2024-06-17,6,2,NBO,ELD,short_haul,economy,3,2888,0.3002,1.9,2600.933,2.600933,Scope 3,Cat 6 — Business travel,SAP travel booking export,68445.52,0.9207,0,2024
TRV-000359,Robinson LLC,RJS,Telecommunications,2024-10-14,10,4,NBO,DAR,short_haul,economy,1,950,0.3002,1.9,285.19,0.28519,Scope 3,Cat 6 — Business travel,SAP travel booking export,6227.17,0.9327,0,2024
TRV-000368,Mann Burton and Williams,SUH,Retail & FMCG,2024-05-18,5,2,NBO,MBA,short_haul,economy,3,1203,0.3002,1.9,1083.422,1.083422,Scope 3,Cat 6 — Business travel,SAP travel booking export,18402.1,0.977,0,2024
TRV-000260,Davies-Butler,DHD,Real Estate,2024-12-28,12,4,NBO,ELD,short_haul,economy,1,1148,0.3002,1.9,344.63,0.34463,Scope 3,Cat 6 — Business travel,SAP travel booking export,7814.13,0.9403,0,2024
TRV-000875,Sanders-Lawrence,IGI,Energy & Petroleum,2024-09-20,9,3,NBO,LHR,long_haul,economy,3,3654,0.3705,1.9,4061.421,4.061421,Scope 3,Cat 6 — Business travel,SAP travel booking export,73545.25,0.9356,0,2024
TRV-001204,West Ltd,GOM,Banking & Finance,2024-03-25,3,1,NBO,CPT,long_haul,economy,2,8042,0.3705,1.9,5959.122,5.959122,Scope 3,Cat 6 — Business travel,SAP travel booking export,150828.22,0.9187,0,2024
TRV-001222,Dixon PLC,LHJ,Manufacturing,2024-12-06,12,4,NBO,KIS,short_haul,economy,3,1243,0.3002,1.9,1119.446,1.119446,Scope 3,Cat 6 — Business travel,SAP travel booking export,30469.53,0.9567,0,2024
TRV-000901,Wright PLC,MUO,Manufacturing,2024-04-04,4,2,NBO,ELD,short_haul,economy,1,2506,0.3002,1.9,752.301,0.752301,Scope 3,Cat 6 — Business travel,SAP travel booking export,24435.17,0.9063,0,2024
TRV-000711,Patel Woodward and Saunders,JXW,Insurance,2024-02-10,2,1,NBO,KIS,short_haul,economy,1,1577,0.3002,1.9,473.415,0.473415,Scope 3,Cat 6 — Business travel,SAP travel booking export,15570.1,0.9361,0,2024
