anomaly_record_id,company_name,nse_code,vehicle_id,vehicle_class,transaction_date,fuel_declared_l,gps_km_logged,expected_fuel_l,delta_fuel_l,anomaly_flag,anomaly_type,anomaly_confidence,impact_tco2e,isolation_score,resolution_status
ANO-000617,Whittaker Rogers and Rogers,FAQ,FAQ-CNG-048,cng_van,2024-11-21,13.0,123.3,16.0,-3.0,1,fuel_type_mismatch,0.874,0.00612,-0.4595,pending
ANO-002478,O'Connor Inc,APN,APN-CAR-046,petrol_saloon,2024-09-19,17.4,45.7,4.42,12.98,1,fuel_type_mismatch,0.8515,0.029996,-0.5177,pending
ANO-001481,Harris-Brown,XXN,XXN-TRK-030,diesel_truck,2024-08-10,449.7,116.5,38.49,411.21,1,over_capacity,0.9178,1.085594,-0.8232,pending
ANO-000538,Hale Day and Hudson,VWT,VWT-LPG-001,lpg_van,2024-11-28,97.8,80.5,11.4,86.4,1,over_capacity,0.8212,0.140832,-0.5422,pending
ANO-001127,Cross-Thomas,EHK,EHK-LPG-014,lpg_van,2024-03-16,76.2,0.0,0.0,76.2,1,zero_gps_nonzero_fuel,0.8506,0.124206,-0.4111,pending
ANO-002174,King-Bryant,IJP,IJP-MTR-003,petrol_bike,2024-07-12,20.0,229.4,10.83,9.17,1,over_capacity,0.8771,0.021054,-0.6227,resolved
ANO-001049,Jackson Baker and Wood,ITI,ITI-TRK-029,diesel_truck,2024-09-11,39.8,91.5,30.23,9.57,1,fuel_type_mismatch,0.8373,0.025265,-0.6568,pending
ANO-001960,Davies Griffin and Clarke,ESU,ESU-LPG-028,lpg_van,2024-04-22,50.3,0.0,0.0,50.3,1,zero_gps_nonzero_fuel,0.9644,0.081989,-0.6314,resolved
ANO-001193,Dickinson Ltd,ZWK,ZWK-BUS-039,diesel_bus,2024-11-12,161.0,118.2,25.11,135.89,1,excessive_idle,0.8492,0.35875,-0.7695,resolved
ANO-002439,O'Connor Inc,APN,APN-TRK-042,diesel_truck,2024-02-23,31.3,84.3,27.85,3.45,1,negative_km,0.9879,0.009108,-0.7684,pending
ANO-001961,James Hale and Shepherd,QSC,QSC-CAR-044,petrol_saloon,2024-11-01,41.7,162.6,15.73,25.97,1,duplicate_entry,0.8944,0.060017,-0.5547,pending
ANO-000638,Franklin Bibi and Lewis,IDW,IDW-BUS-039,diesel_bus,2024-09-05,20.7,0.0,0.0,20.7,1,zero_gps_nonzero_fuel,0.985,0.054648,-0.7824,pending
ANO-000095,Shaw Ltd,FCJ,FCJ-LPG-008,lpg_van,2024-08-26,56.6,135.2,19.14,37.46,1,negative_km,0.8893,0.06106,-0.635,pending
ANO-001864,Burton PLC,JBS,JBS-BUS-002,diesel_bus,2024-06-03,23.6,73.0,15.51,8.09,1,duplicate_entry,0.9628,0.021358,-0.4313,escalated
ANO-001595,Harris-Brown,XXN,XXN-BUS-040,diesel_bus,2024-11-28,59.5,0.0,0.0,59.5,1,zero_gps_nonzero_fuel,0.8908,0.15708,-0.7434,pending
ANO-001472,Jones-Payne,JKJ,JKJ-SUV-037,petrol_suv,2024-08-15,94.3,50.2,7.4,86.9,1,impossible_consumption,0.9119,0.200826,-0.593,pending
ANO-000927,Walsh-Brown,LZS,LZS-SUV-018,petrol_suv,2024-05-31,25.9,299.0,44.1,-18.2,1,duplicate_entry,0.8607,0.04206,-0.7028,pending
ANO-000559,Jones Stanley and Hughes,SZS,SZS-TRK-047,diesel_truck,2024-01-19,30.6,123.5,40.8,-10.2,1,negative_km,0.9055,0.026928,-0.6768,pending
ANO-000097,Taylor-Ball,CGQ,CGQ-MTR-041,petrol_bike,2024-06-13,23.4,121.4,5.73,17.67,1,duplicate_entry,0.8523,0.04057,-0.5019,pending
ANO-002405,Franklin Bibi and Lewis,IDW,IDW-BUS-029,diesel_bus,2024-11-18,102.8,224.1,47.6,55.2,1,impossible_consumption,0.8944,0.145728,-0.5313,pending
ANO-002124,Whittaker Rogers and Rogers,FAQ,FAQ-TRK-035,diesel_truck,2024-08-14,415.9,238.0,78.64,337.26,1,over_capacity,0.8658,0.890366,-0.5632,escalated
ANO-000373,O'Connor Inc,APN,APN-CNG-038,cng_van,2024-03-16,48.8,272.1,35.32,13.48,1,fuel_type_mismatch,0.9728,0.027499,-0.6469,pending
ANO-000558,Archer Atkins and Goddard,TML,TML-4WD-027,petrol_4wd,2024-11-03,37.9,77.7,12.84,25.06,1,negative_km,0.9854,0.066158,-0.6609,pending
ANO-002199,Jones-Payne,JKJ,JKJ-VAN-042,diesel_van,2024-03-27,49.1,153.4,19.01,30.09,1,negative_km,0.9848,0.079438,-0.6047,pending
ANO-001416,Morgan and Sons,NQY,NQY-LPG-033,lpg_van,2024-10-03,19.7,0.0,0.0,19.7,1,zero_gps_nonzero_fuel,0.9229,0.032111,-0.5459,escalated
ANO-000655,Parry Bates and Adams,HDQ,HDQ-4WD-028,petrol_4wd,2024-01-28,74.5,68.2,11.27,63.23,1,excessive_idle,0.8292,0.166927,-0.5381,escalated
ANO-001001,Holt-Murphy,GUP,GUP-CAR-014,petrol_saloon,2024-01-11,31.3,104.3,10.09,21.21,1,fuel_type_mismatch,0.8202,0.049016,-0.4913,pending
ANO-002123,White-Collins,XSE,XSE-MTR-015,petrol_bike,2024-11-24,73.0,0.0,0.0,73.0,1,zero_gps_nonzero_fuel,0.9487,0.167608,-0.723,escalated
ANO-001938,Parry Bates and Adams,HDQ,HDQ-BUS-015,diesel_bus,2024-01-09,50.0,121.8,25.87,24.13,1,fuel_type_mismatch,0.9768,0.063703,-0.7029,pending
ANO-002161,Franklin Bibi and Lewis,IDW,IDW-MTR-031,petrol_bike,2024-12-19,62.9,0.0,0.0,62.9,1,zero_gps_nonzero_fuel,0.8212,0.144418,-0.5556,pending
ANO-000378,Burton PLC,JBS,JBS-MTR-010,petrol_bike,2024-04-15,16.1,148.7,7.02,9.08,1,over_capacity,0.8856,0.020848,-0.8355,escalated
ANO-001909,O'Sullivan PLC,ZTD,ZTD-BUS-027,diesel_bus,2024-12-04,57.3,0.0,0.0,57.3,1,zero_gps_nonzero_fuel,0.9272,0.151272,-0.5334,escalated
ANO-002003,Jones Inc,MJJ,MJJ-CNG-040,cng_van,2024-04-28,57.7,130.2,16.9,40.8,1,impossible_consumption,0.8437,0.083232,-0.5342,resolved
ANO-001168,Jackson Baker and Wood,ITI,ITI-LPG-005,lpg_van,2024-08-19,89.9,151.5,21.45,68.45,1,over_capacity,0.964,0.111574,-0.6272,resolved
ANO-001784,Gibbs Byrne and White,TKR,TKR-BUS-006,diesel_bus,2024-05-08,59.3,77.9,16.55,42.75,1,impossible_consumption,0.9173,0.11286,-0.826,pending
ANO-001072,Davies-Kennedy,DAB,DAB-BUS-023,diesel_bus,2024-02-15,258.1,207.6,44.09,214.01,1,over_capacity,0.9649,0.564986,-0.4915,pending
ANO-001825,Griffiths Pearson and Hall,VUH,VUH-VAN-035,diesel_van,2024-02-09,49.3,215.4,26.69,22.61,1,duplicate_entry,0.8907,0.05969,-0.4054,pending
ANO-002030,Walsh-Brown,LZS,LZS-MTR-016,petrol_bike,2024-07-22,16.7,101.3,4.78,11.92,1,over_capacity,0.9696,0.027368,-0.376,pending
