commute_record_id,company_name,nse_code,sector,employee_id,county_residence,commute_mode,one_way_km,working_days_pa,annual_commute_km,ef_kgco2e_per_km,emission_kgco2e,emission_tco2e,scope,category,data_source,survey_year,anomaly_flag,fy_year
CMT-0001277,Daly Cooper and Davies,DGM,Insurance,EMP-DGM-01277,Kilifi,matatu_14seater,25.4,197,10007.6,0.089,890.676,0.890676,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0006077,Bird Parker and Jones,INS,Technology,EMP-INS-06077,Kakamega,private_car,23.7,173,8200.2,0.17,1394.034,1.394034,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0012869,Shah King and Taylor,KSD,Construction,EMP-KSD-12869,Garissa,boda_boda,13.7,164,4493.6,0.113,507.777,0.507777,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0009402,Shaw Inc,CEH,Hospitality,EMP-CEH-09402,Embu,tuk_tuk,4.0,181,1448.0,0.095,137.56,0.13756,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0011966,Davies-Barlow,UIM,Agriculture,EMP-UIM-11966,Garissa,private_car,37.2,197,14656.8,0.17,2491.656,2.491656,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0004238,Adams Ltd,LCV,Real Estate,EMP-LCV-04238,Eldoret,boda_boda,8.5,172,2924.0,0.113,330.412,0.330412,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0003825,Yates-Marshall,YLC,Logistics,EMP-YLC-03825,Garissa,private_car,21.1,242,10212.4,0.17,1736.108,1.736108,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0009181,Hughes Inc,ZYC,Manufacturing,EMP-ZYC-09181,Nyeri,walk_or_cycle,3.2,178,1139.2,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0000626,White Pritchard and Evans,NZP,Healthcare,EMP-NZP-00626,Kitui,private_car,25.1,215,10793.0,0.17,1834.81,1.83481,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0008995,Hughes and Sons,LLR,Education,EMP-LLR-08995,Mombasa,walk_or_cycle,2.7,169,912.6,0.0,0.0,0.0,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0014623,Watts-Knowles,EPA,Construction,EMP-EPA-14623,Thika,matatu_14seater,28.4,207,11757.6,0.089,1046.426,1.046426,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0002659,Davey Tucker and Hartley,CFF,Manufacturing,EMP-CFF-02659,Garissa,company_bus,24.8,217,10763.2,0.029,312.133,0.312133,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0004810,Wilson PLC,UXY,Construction,EMP-UXY-04810,Kisumu,train_sgr,27.7,230,12742.0,0.021,267.582,0.267582,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0008380,Collins Group,XBO,Manufacturing,EMP-XBO-08380,Nakuru,private_car,34.8,181,12597.6,0.17,2141.592,2.141592,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0003157,Holland Ltd,EXO,Energy & Petroleum,EMP-EXO-03157,Nyeri,matatu_14seater,12.8,226,5785.6,0.089,514.918,0.514918,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
CMT-0014277,Daly-Taylor,KPC,Retail & FMCG,EMP-KPC-14277,Kilifi,matatu_14seater,26.3,173,9099.8,0.089,809.882,0.809882,Scope 3,Cat 7 — Employee commuting,HR commute survey,2024,0,2024
