record_id,company_name,nse_code,sector,county,vehicle_id,vehicle_class,fuel_type,transaction_date,month,quarter,fuel_station_brand,fuel_station_area,fuel_litres,fuel_price_ksh_per_l,fuel_cost_ksh,gps_km_driven,defra_ef_kgco2e_per_l,kenya_road_adj,emission_kgco2e,emission_tco2e,scope,data_source,extraction_confidence,anomaly_flag,anomaly_type,fy_year
FC-0002434,Evans Group,OYQ,Education,Kakamega,OYQ-VAN-002,diesel_van,diesel,2024-09-13,9,3,Total Kenya,Upper Hill,21.29,203.76,4338.14,166.0,2.64,1.18,56.206,0.056206,Scope 1,Fuel card statement,0.9741,0,clean,2024
FC-0014505,Harding Ltd,TUY,Logistics,Kisii,TUY-SUV-016,petrol_suv,petrol,2024-10-03,10,4,Gulf Energy,Gigiri,33.98,220.32,7486.38,219.8,2.311,1.18,78.528,0.078528,Scope 1,Fuel card statement,0.9803,0,clean,2024
FC-0011497,Robinson-Ford,LOY,Banking & Finance,Garissa,LOY-SUV-027,petrol_suv,petrol,2024-09-30,9,3,Rubis Energy,Kilimani,33.61,217.78,7319.49,234.3,2.311,1.18,77.673,0.077673,Scope 1,Fuel card statement,0.9631,0,clean,2024
FC-0002572,Dixon Inc,VOQ,Insurance,Kakamega,VOQ-TRK-015,diesel_truck,diesel,2024-06-08,6,2,Petrol Plus,Lavington,76.8,201.96,15510.33,233.6,2.64,1.18,202.752,0.202752,Scope 1,Fuel card statement,0.9618,0,clean,2024
FC-0003767,Lowe-Power,QSJ,Technology,Machakos,QSJ-SUV-007,petrol_suv,petrol,2024-06-20,6,2,Rubis Energy,Gigiri,25.56,215.68,5512.86,176.0,2.311,1.18,59.069,0.059069,Scope 1,Fuel card statement,0.9386,0,clean,2024
FC-0001645,Wood Group,DGM,Logistics,Nairobi,DGM-SUV-001,petrol_suv,petrol,2024-03-31,3,1,Total Kenya,Westlands,7.41,208.6,1545.73,52.8,2.311,1.18,17.125,0.017125,Scope 1,Fuel card statement,0.9634,0,clean,2024
FC-0003073,Williams-Edwards,LTC,Logistics,Eldoret,LTC-SUV-012,petrol_suv,petrol,2024-10-05,10,4,Kenol Kobil,Upperhill,21.84,208.78,4559.75,145.8,2.311,1.18,50.472,0.050472,Scope 1,Fuel card statement,0.9783,0,clean,2024
FC-0009349,Fletcher-Lloyd,DKL,Media,Meru,DKL-4WD-016,petrol_4wd,petrol,2024-02-19,2,1,Petrol Plus,Gigiri,62.3,212.66,13248.82,362.9,2.64,1.18,164.472,0.164472,Scope 1,Fuel card statement,0.9736,0,clean,2024
FC-0013565,Jones Kaur and Tomlinson,BJD,Insurance,Embu,BJD-CNG-003,cng_van,cng,2024-06-28,6,2,Rubis Energy,Gigiri,15.36,113.93,1749.99,124.3,2.04,1.18,31.334,0.031334,Scope 1,Fuel card statement,0.9873,0,clean,2024
FC-0001012,Green Inc,CCC,Media,Meru,CCC-SUV-001,petrol_suv,petrol,2024-05-25,5,2,Oryx Energies,Upperhill,3.5,209.08,731.78,23.0,2.311,1.18,8.089,0.008089,Scope 1,Fuel card statement,0.9293,0,clean,2024
