gps_record_id,fuel_record_id,company_name,nse_code,vehicle_id,vehicle_class,transaction_date,gps_km_logged,fuel_declared_l,expected_fuel_l,delta_fuel_l,cross_validation,match_confidence,anomaly_flag,anomaly_type
GPS-0002434,FC-0002434,Evans Group,OYQ,OYQ-VAN-002,diesel_van,2024-09-13,21.5,21.29,20.57,0.72,pass,0.9305,0,clean
GPS-0014505,FC-0014505,Harding Ltd,TUY,TUY-SUV-016,petrol_suv,2024-10-03,30.8,33.98,32.42,1.56,pass,0.9343,0,clean
GPS-0011497,FC-0011497,Robinson-Ford,LOY,LOY-SUV-027,petrol_suv,2024-09-30,35.2,33.61,34.56,-0.95,pass,0.9549,0,clean
GPS-0002572,FC-0002572,Dixon Inc,VOQ,VOQ-TRK-015,diesel_truck,2024-06-08,75.7,76.8,77.18,-0.38,pass,0.9531,0,clean
GPS-0003767,FC-0003767,Lowe-Power,QSJ,QSJ-SUV-007,petrol_suv,2024-06-20,26.8,25.56,25.96,-0.4,pass,0.9429,0,clean
GPS-0001645,FC-0001645,Wood Group,DGM,DGM-SUV-001,petrol_suv,2024-03-31,7.6,7.41,7.79,-0.38,pass,0.9659,0,clean
GPS-0003073,FC-0003073,Williams-Edwards,LTC,LTC-SUV-012,petrol_suv,2024-10-05,20.7,21.84,21.51,0.33,pass,0.9347,0,clean
GPS-0009349,FC-0009349,Fletcher-Lloyd,DKL,DKL-4WD-016,petrol_4wd,2024-02-19,62.4,62.3,59.95,2.35,pass,0.9596,0,clean
GPS-0013565,FC-0013565,Jones Kaur and Tomlinson,BJD,BJD-CNG-003,cng_van,2024-06-28,16.0,15.36,16.13,-0.77,pass,0.9459,0,clean
GPS-0001012,FC-0001012,Green Inc,CCC,CCC-SUV-001,petrol_suv,2024-05-25,3.5,3.5,3.39,0.11,pass,0.9809,0,clean
GPS-0013103,FC-0013103,Morris Jackson and Lambert,PEA,PEA-SUV-001,petrol_suv,2024-10-22,41.3,45.0,43.39,1.61,pass,0.9308,0,clean
GPS-0006528,FC-0006528,Ryan LLC,YNQ,YNQ-SUV-015,petrol_suv,2024-12-30,6.5,6.03,6.33,-0.3,pass,0.9498,0,clean
GPS-0014592,FC-0014592,Dixon-Goddard,BFN,BFN-CAR-009,petrol_saloon,2024-11-03,13.9,15.18,14.55,0.63,pass,0.9528,0,clean
GPS-0010541,FC-0010541,Turnbull Inc,QZY,QZY-MTR-027,petrol_bike,2024-01-21,21.9,14.7,21.22,-6.52,pass,0.946,0,clean
GPS-0000340,FC-0000340,Clark Dawson and Atkinson,ODV,ODV-SUV-004,petrol_suv,2024-09-06,30.1,30.12,29.01,1.11,pass,0.9851,0,clean
GPS-0009833,FC-0009833,Kemp and Sons,QTD,QTD-4WD-003,petrol_4wd,2024-03-29,61.3,65.35,63.45,1.9,pass,0.9393,0,clean
GPS-0012340,FC-0012340,Riley-Burrows,YEC,YEC-MTR-004,petrol_bike,2024-01-12,10.5,10.03,10.23,-0.2,pass,0.933,0,clean
GPS-0001362,FC-0001362,Moore and Sons,ZOO,ZOO-CAR-013,petrol_saloon,2024-04-14,35.5,35.52,34.53,0.99,pass,0.9847,0,clean
GPS-0013732,FC-0013732,Ingram-Green,XQO,XQO-VAN-026,diesel_van,2024-02-05,2.5,2.4,2.52,-0.12,pass,0.9669,0,clean
GPS-0004152,FC-0004152,Palmer Inc,AHX,AHX-MTR-018,petrol_bike,2024-04-14,15.6,14.7,15.23,-0.53,pass,0.9546,0,clean
GPS-0009021,FC-0009021,Lucas Coleman and Morton,BYH,BYH-CAR-008,petrol_saloon,2024-04-13,12.3,11.87,11.69,0.18,pass,0.9534,0,clean
GPS-0015059,FC-0015059,Pearson-Hammond,XDJ,XDJ-BUS-009,diesel_bus,2024-03-25,64.8,60.6,62.4,-1.8,pass,0.988,0,clean
GPS-0006709,FC-0006709,Banks Clarke and Stephenson,WEX,WEX-CAR-024,petrol_saloon,2024-12-23,23.2,21.83,22.44,-0.61,pass,0.9495,0,clean
GPS-0011554,FC-0011554,Todd Kirk and Gibson,KXS,KXS-CAR-017,petrol_saloon,2024-02-07,36.8,39.38,38.48,0.9,pass,0.9515,0,clean
GPS-0007389,FC-0007389,Austin-Thompson,DDP,DDP-SUV-006,petrol_suv,2024-10-24,58.7,58.86,57.92,0.94,pass,0.9694,0,clean
GPS-0001437,FC-0001437,Ryan Warren and Connolly,WYG,WYG-CAR-012,petrol_saloon,2024-02-20,13.8,14.0,14.38,-0.38,pass,0.9899,0,clean
GPS-0009657,FC-0009657,Kemp James and Ellis,LWZ,LWZ-MTR-006,petrol_bike,2024-12-26,16.3,14.7,16.52,-1.82,pass,0.9814,0,clean
GPS-0005798,FC-0005798,Hunt Hawkins and Humphries,BSC,BSC-MTR-009,petrol_bike,2024-07-30,19.5,14.7,20.29,-5.59,pass,0.9739,0,clean
GPS-0013722,FC-0013722,Ellis-Davies,EYQ,EYQ-CAR-013,petrol_saloon,2024-04-29,39.8,37.75,39.08,-1.33,pass,0.9519,0,clean
GPS-0002594,FC-0002594,Dixon Inc,VOQ,VOQ-CAR-009,petrol_saloon,2024-09-23,14.1,14.35,13.95,0.4,pass,0.9506,0,clean
GPS-0008288,FC-0008288,Andrews Inc,SSO,SSO-VAN-007,diesel_van,2024-06-17,34.3,34.29,35.42,-1.13,pass,0.9475,0,clean
GPS-0002134,FC-0002134,Willis Mistry and Jones,DOH,DOH-CAR-007,petrol_saloon,2024-09-25,6.7,6.58,6.46,0.12,pass,0.9858,0,clean
GPS-0008455,FC-0008455,Mellor PLC,VWU,VWU-BUS-015,diesel_bus,2024-02-17,21.1,20.66,20.71,-0.05,pass,0.9796,0,clean
GPS-0002428,FC-0002428,Elliott Ltd,WKX,WKX-BUS-002,diesel_bus,2024-06-18,59.0,59.34,59.54,-0.2,pass,0.9596,0,clean
GPS-0010160,FC-0010160,Green PLC,UEI,UEI-VAN-004,diesel_van,2024-01-21,46.2,48.01,47.47,0.54,pass,0.9471,0,clean
GPS-0004000,FC-0004000,Gibbs LLC,IEI,IEI-CAR-027,petrol_saloon,2024-12-28,41.5,40.11,40.44,-0.33,pass,0.9829,0,clean
GPS-0005705,FC-0005705,Kemp-Moore,RXL,RXL-TRK-008,diesel_truck,2024-05-17,41.3,39.34,40.37,-1.03,pass,0.9447,0,clean
GPS-0014875,FC-0014875,Davies-Dixon,MUB,MUB-BUS-011,diesel_bus,2024-12-10,36.9,33.75,35.13,-1.38,pass,0.9482,0,clean
GPS-0013590,FC-0013590,Jones Kaur and Tomlinson,BJD,BJD-SUV-005,petrol_suv,2024-03-27,9.7,9.64,9.74,-0.1,pass,0.9452,0,clean
GPS-0002826,FC-0002826,Lewis and Sons,IRW,IRW-MTR-017,petrol_bike,2024-09-06,10.0,10.45,9.99,0.46,pass,0.9359,0,clean
GPS-0009166,FC-0009166,Hill-Jones,MAN,MAN-MTR-007,petrol_bike,2024-07-25,21.6,14.7,21.24,-6.54,pass,0.9517,0,clean
GPS-0007930,FC-0007930,Clarke Morris and Roberts,ASZ,ASZ-CNG-015,cng_van,2024-07-21,7.0,7.0,6.76,0.24,pass,0.9565,0,clean
GPS-0014731,FC-0014731,Smith-Begum,BIT,BIT-VAN-013,diesel_van,2024-10-02,20.1,20.65,20.56,0.09,pass,0.9598,0,clean
GPS-0004354,FC-0004354,Stewart Inc,ITQ,ITQ-CAR-003,petrol_saloon,2024-01-30,41.8,44.68,42.98,1.7,pass,0.9365,0,clean
GPS-0006285,FC-0006285,Shaw-James,IGZ,IGZ-VAN-028,diesel_van,2024-10-26,4.6,4.16,4.37,-0.21,pass,0.9376,0,clean
GPS-0011088,FC-0011088,Harper Hussain and Thompson,ZAA,ZAA-MTR-013,petrol_bike,2024-05-25,16.6,14.7,17.42,-2.72,pass,0.9507,0,clean
GPS-0014871,FC-0014871,Davies-Dixon,MUB,MUB-CAR-016,petrol_saloon,2024-01-21,33.5,34.39,33.97,0.42,pass,0.9716,0,clean
