narrative_id,company_name,nse_code,sector,fy_year,scope1_tco2e,total_tco2e,intensity,uncertainty_pct,scope1_narrative,intensity_narrative,uncertainty_narrative,recommendation_narrative,full_narrative
NAR-000247,Wilson Jones and Moore,DCI,Real Estate,2024,23352.9,30037.19,0.2514,7.5,"Scope 1 transport emissions for FY2024 stand at 23353 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","Transport emission intensity stood at 0.251 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group.","The 95% confidence interval on the total emission figure is ±7.5%, yielding a range of 27784–32290 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Replacing 22% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 925 tCO2e per year.,"Scope 1 transport emissions for FY2024 stand at 23353 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. Transport emission intensity stood at 0.251 tCO2e per KSh million revenue, placing the company in the second quartile of the NSE peer group. The 95% confidence interval on the total emission figure is ±7.5%, yielding a range of 27784–32290 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Replacing 22% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 925 tCO2e per year."
NAR-000133,Wilson-Marsh,TEE,Manufacturing,2024,11215.07,19060.61,0.3205,6.86,Fleet combustion across 245 vehicles contributed 11215 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"At 0.321 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 245 active fleet vehicles.","Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 17753–20368 tCO2e (±6.9%).",A remote-work policy covering 16% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 427 tCO2e per year.,"Fleet combustion across 245 vehicles contributed 11215 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. At 0.321 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 245 active fleet vehicles. Uncertainty quantification via PyMC Monte Carlo (10,000 samples) yields a 95% CI of 17753–20368 tCO2e (±6.9%). A remote-work policy covering 16% of office-based staff is projected to reduce Scope 3 Cat 7 commute emissions by 427 tCO2e per year."
NAR-000598,Bell-Jackson,TAX,Technology,2024,21076.29,28604.63,0.2498,4.31,"Scope 1 transport emissions for FY2024 stand at 21076 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet.","Emission intensity was 0.250 tCO2e per KSh million revenue, compared to a sector median of 0.903.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 27372 to 29837 tCO2e, representing ±4.3% of the central estimate.",Switching 23% of the motorbike fleet to CNG would reduce Scope 1 emissions by 921 tCO2e annually at a cost of KSh 4624 per tonne avoided.,"Scope 1 transport emissions for FY2024 stand at 21076 tCO2e, driven primarily by petrol and diesel consumption. The KETRACO grid factor of 0.392 kgCO2e/kWh was applied to all EV charging within the fleet. Emission intensity was 0.250 tCO2e per KSh million revenue, compared to a sector median of 0.903. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 27372 to 29837 tCO2e, representing ±4.3% of the central estimate. Switching 23% of the motorbike fleet to CNG would reduce Scope 1 emissions by 921 tCO2e annually at a cost of KSh 4624 per tonne avoided."
NAR-000135,Williams Storey and Rogers,JJE,Insurance,2024,10100.88,15113.85,0.8401,2.54,"Scope 1 emissions of 10101 tCO2e arise from direct combustion of petrol and diesel in the company's 286 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data).","Intensity improved from 0.824 to 0.840 tCO2e/KSh M between FY2023 and FY2024, a 1.9% reduction.","The 95% confidence interval on the total emission figure is ±2.5%, yielding a range of 14730–15498 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 29%, saving 614 tCO2e annually at KSh 11965/t avoided.","Scope 1 emissions of 10101 tCO2e arise from direct combustion of petrol and diesel in the company's 286 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data). Intensity improved from 0.824 to 0.840 tCO2e/KSh M between FY2023 and FY2024, a 1.9% reduction. The 95% confidence interval on the total emission figure is ±2.5%, yielding a range of 14730–15498 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 29%, saving 614 tCO2e annually at KSh 11965/t avoided."
NAR-000238,Bruce Ltd,TZP,Logistics,2024,5646.0,9987.06,0.1003,3.11,"The company's 190 owned and leased vehicles produced 5646 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment.","At 0.100 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 190 active fleet vehicles.","The reported figure of 9987 tCO2e carries an uncertainty of ±3.1% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance.",Transitioning 19% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 266 tCO2e annually at approximately KSh 10543 per tonne avoided.,"The company's 190 owned and leased vehicles produced 5646 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment. At 0.100 tCO2e per KSh M, the company's intensity is below the sector average of 0.903, reflecting 190 active fleet vehicles. The reported figure of 9987 tCO2e carries an uncertainty of ±3.1% at 95% confidence, reflecting emission factor, activity data, and road adjustment variance. Transitioning 19% of the heavy diesel fleet to EVs could reduce Scope 1 emissions by an estimated 266 tCO2e annually at approximately KSh 10543 per tonne avoided."
NAR-000146,Moore-Kay,PXO,Energy & Petroleum,2024,7930.63,13675.29,0.1576,2.83,"Scope 1 emissions of 7931 tCO2e arise from direct combustion of petrol and diesel in the company's 25 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data).","Transport emission intensity stood at 0.158 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 13288 to 14062 tCO2e, representing ±2.8% of the central estimate.",Switching 49% of the motorbike fleet to CNG would reduce Scope 1 emissions by 938 tCO2e annually at a cost of KSh 6559 per tonne avoided.,"Scope 1 emissions of 7931 tCO2e arise from direct combustion of petrol and diesel in the company's 25 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data). Transport emission intensity stood at 0.158 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 13288 to 14062 tCO2e, representing ±2.8% of the central estimate. Switching 49% of the motorbike fleet to CNG would reduce Scope 1 emissions by 938 tCO2e annually at a cost of KSh 6559 per tonne avoided."
NAR-000093,Saunders Ltd,BPO,Banking & Finance,2024,24876.33,36506.45,0.4851,7.09,Fleet combustion across 297 vehicles contributed 24876 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data.,"Transport emission intensity stood at 0.485 tCO2e per KSh million revenue, placing the company in the third quartile of the NSE peer group.","The 95% confidence interval on the total emission figure is ±7.1%, yielding a range of 33918–39095 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 27%, saving 1380 tCO2e annually at KSh 7422/t avoided.","Fleet combustion across 297 vehicles contributed 24876 tCO2e to Scope 1 in FY2024. All calculations apply DEFRA 2024 Tier 2 factors and the Kenya-specific +18% road condition adjustment from NTSA fleet data. Transport emission intensity stood at 0.485 tCO2e per KSh million revenue, placing the company in the third quartile of the NSE peer group. The 95% confidence interval on the total emission figure is ±7.1%, yielding a range of 33918–39095 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 27%, saving 1380 tCO2e annually at KSh 7422/t avoided."
NAR-000578,Brennan Thompson and Powell,KAR,Real Estate,2024,24356.46,35233.9,8.9868,4.39,"The company's 66 owned and leased vehicles produced 24356 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment.","The company achieved an emission intensity of 8.987 tCO2e/KSh M, a reduction of 3.4% versus FY2023.","The 95% confidence interval on the total emission figure is ±4.4%, yielding a range of 33687–36781 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC.",Replacing 51% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 2516 tCO2e per year.,"The company's 66 owned and leased vehicles produced 24356 tCO2e in Scope 1, computed at Tier 2 using vehicle-class-specific DEFRA 2024 emission factors with the Kenya NTSA road adjustment. The company achieved an emission intensity of 8.987 tCO2e/KSh M, a reduction of 3.4% versus FY2023. The 95% confidence interval on the total emission figure is ±4.4%, yielding a range of 33687–36781 tCO2e, derived from Bayesian Monte Carlo simulation using PyMC. Replacing 51% of short-haul business flights with video conferencing would reduce Scope 3 Cat 6 emissions by approximately 2516 tCO2e per year."
NAR-000925,Marsh Parkinson and Fraser,PCS,Agriculture,2024,4326.48,6588.69,0.1532,4.46,"Direct fleet emissions totalled 4326 tCO2e in FY2024, representing 66% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout.","Transport emission intensity stood at 0.153 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 6295 to 6883 tCO2e, representing ±4.5% of the central estimate.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 51%, saving 470 tCO2e annually at KSh 12155/t avoided.","Direct fleet emissions totalled 4326 tCO2e in FY2024, representing 66% of the total transport footprint. DEFRA 2024 factors and IPCC AR6 GWP values were applied throughout. Transport emission intensity stood at 0.153 tCO2e per KSh million revenue, placing the company in the top quartile of the NSE peer group. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 6295 to 6883 tCO2e, representing ±4.5% of the central estimate. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 51%, saving 470 tCO2e annually at KSh 12155/t avoided."
NAR-000473,Marshall Ltd,ZMY,Media,2024,17703.01,25811.27,0.868,5.77,"Scope 1 emissions of 17703 tCO2e arise from direct combustion of petrol and diesel in the company's 214 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data).","Emission intensity was 0.868 tCO2e per KSh million revenue, compared to a sector median of 0.903.","Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 24322 to 27301 tCO2e, representing ±5.8% of the central estimate.","Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 44%, saving 1590 tCO2e annually at KSh 14917/t avoided.","Scope 1 emissions of 17703 tCO2e arise from direct combustion of petrol and diesel in the company's 214 vehicle fleet, calculated using DEFRA 2024 factors at Tier 2, adjusted for Kenyan road conditions (+18% per NTSA data). Emission intensity was 0.868 tCO2e per KSh million revenue, compared to a sector median of 0.903. Applying Bayesian uncertainty propagation (PyMC, 10,000 samples), the 95% confidence interval spans 24322 to 27301 tCO2e, representing ±5.8% of the central estimate. Route optimisation using AI-based traffic modelling could reduce fleet fuel consumption by approximately 44%, saving 1590 tCO2e annually at KSh 14917/t avoided."
