id,vehicle_id,inspection_date,inspector_id,inspection_type,roadworthiness_score,safety_score,emissions_score,overall_rating,violations_found,recommendations,next_inspection_date,created_at
1,1,2026-01-17T03:49:52.667054,NTSA-2882,quarterly,79.8,70.8,74.8,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-11-08T03:49:52.667054,2026-04-19T03:49:52.667640
2,1,2024-09-08T03:49:52.667652,NTSA-3919,special,97.6,50.6,73.5,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-03-07T03:49:52.667652,2026-04-19T03:49:52.667708
3,2,2026-02-10T03:49:52.667724,NTSA-5590,special,80.1,59.5,60.8,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2027-01-25T03:49:52.667724,2026-04-19T03:49:52.667766
4,3,2025-06-10T03:49:52.667780,NTSA-2143,annual,97.2,52.2,65.7,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-05-08T03:49:52.667780,2026-04-19T03:49:52.667831
5,4,2025-11-11T03:49:52.667843,NTSA-5933,special,85.8,55.2,92.8,Conditional,"[""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-05-11T03:49:52.667843,2026-04-19T03:49:52.667884
6,5,2026-01-27T03:49:52.667895,NTSA-2963,special,78.3,89.7,70.4,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-21T03:49:52.667895,2026-04-19T03:49:52.667937
7,6,2025-11-01T03:49:52.667946,NTSA-1267,annual,67.1,51.9,48.1,Fail,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Missing fire extinguisher"", ""No first aid kit"", ""Broken seats"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-23T03:49:52.667946,2026-04-19T03:49:52.667994
8,6,2024-05-05T03:49:52.668004,NTSA-2514,annual,86.0,72.3,93.5,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-03-08T03:49:52.668004,2026-04-19T03:49:52.668045
9,6,2023-09-02T03:49:52.668051,NTSA-3003,annual,65.4,91.7,54.3,Conditional,"[""Worn tires"", ""Faulty brakes"", ""Poor lighting"", ""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2024-05-09T03:49:52.668051,2026-04-19T03:49:52.668096
10,6,2024-10-02T03:49:52.668102,NTSA-3846,quarterly,80.6,72.2,58.7,Conditional,"[""Excessive emissions""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2025-06-14T03:49:52.668102,2026-04-19T03:49:52.668150
11,7,2026-03-01T03:49:52.668167,NTSA-2327,quarterly,84.8,89.5,64.1,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-09-10T03:49:52.668167,2026-04-19T03:49:52.668206
12,7,2025-07-21T03:49:52.668213,NTSA-9341,special,73.6,93.9,60.0,Conditional,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-06-18T03:49:52.668213,2026-04-19T03:49:52.668252
13,8,2025-10-29T03:49:52.668264,NTSA-8527,special,82.3,94.4,88.7,Pass,"[""No violations found""]","[""Regular maintenance schedule"", ""Driver safety training"", ""Emission system check""]",2026-07-24T03:49:52.668264,2026-04-19T03:49:52.668301
