sim_id,ev_mandate_pct,fuel_economy_std_pct,remote_work_pct,sector_baseline_tco2e,projected_reduction_tco2e,projected_total_tco2e,reduction_pct,ndc_2025_target,ndc_gap_tco2e,ndc_met,label_ndc_met
SIM-000617,42.4,14.2,42.0,218000,39404.7,178595.3,18.08,200000,0.0,1,yes
SIM-002478,49.9,28.4,33.9,218000,46577.8,171422.2,21.37,200000,0.0,1,yes
SIM-001481,12.6,12.2,30.9,218000,17873.6,200126.4,8.2,200000,126.4,0,no
SIM-000538,56.6,28.2,13.9,218000,47013.1,170986.9,21.57,200000,0.0,1,yes
SIM-001127,28.4,39.5,58.0,218000,41896.1,176103.9,19.22,200000,0.0,1,yes
SIM-002174,26.7,19.8,4.4,218000,22892.9,195107.1,10.5,200000,0.0,1,yes
SIM-001049,79.6,36.1,7.6,218000,62603.8,155396.2,28.72,200000,0.0,1,yes
SIM-001960,25.4,43.4,48.5,218000,39187.3,178812.7,17.98,200000,0.0,1,yes
SIM-001193,3.2,45.7,7.2,218000,18391.9,199608.1,8.44,200000,0.0,1,yes
SIM-002439,28.7,6.0,10.3,218000,21343.1,196656.9,9.79,200000,0.0,1,yes
SIM-001961,96.4,18.7,57.3,218000,75533.9,142466.1,34.65,200000,0.0,1,yes
SIM-000638,60.7,32.1,6.5,218000,48053.3,169946.7,22.04,200000,0.0,1,yes
SIM-000095,58.2,28.1,13.8,218000,47538.2,170461.8,21.81,200000,0.0,1,yes
SIM-001864,21.3,39.8,48.8,218000,35109.0,182891.0,16.11,200000,0.0,1,yes
SIM-001595,29.6,44.2,23.5,218000,37541.7,180458.3,17.22,200000,0.0,1,yes
SIM-001472,1.7,40.8,38.8,218000,21626.8,196373.2,9.92,200000,0.0,1,yes
SIM-000927,36.5,30.5,10.0,218000,34271.3,183728.7,15.72,200000,0.0,1,yes
SIM-000559,15.0,5.8,3.4,218000,12351.6,205648.4,5.67,200000,5648.4,0,no
SIM-000097,69.3,13.7,43.7,218000,54636.2,163363.8,25.06,200000,0.0,1,yes
SIM-002405,95.7,42.6,6.9,218000,73703.3,144296.7,33.81,200000,0.0,1,yes
SIM-002124,11.1,29.7,57.9,218000,27245.5,190754.5,12.5,200000,0.0,1,yes
SIM-000373,90.5,35.8,16.0,218000,70831.3,147168.7,32.49,200000,0.0,1,yes
SIM-000558,74.1,37.1,30.1,218000,62883.4,155116.6,28.85,200000,0.0,1,yes
SIM-002199,53.0,35.6,15.5,218000,46238.3,171761.7,21.21,200000,0.0,1,yes
SIM-001416,72.5,11.6,20.6,218000,52242.6,165757.4,23.96,200000,0.0,1,yes
SIM-000655,61.7,15.2,45.9,218000,51276.9,166723.1,23.52,200000,0.0,1,yes
SIM-001001,1.5,26.2,15.2,218000,12094.1,205905.9,5.55,200000,5905.9,0,no
SIM-002123,77.1,48.2,21.3,218000,67113.3,150886.7,30.79,200000,0.0,1,yes
SIM-001938,57.5,14.8,34.4,218000,47325.5,170674.5,21.71,200000,0.0,1,yes
SIM-002161,18.1,48.9,37.4,218000,33959.2,184040.8,15.58,200000,0.0,1,yes
SIM-000378,29.9,0.4,24.2,218000,22395.6,195604.4,10.27,200000,0.0,1,yes
SIM-001909,1.5,47.6,18.2,218000,20398.7,197601.3,9.36,200000,0.0,1,yes
SIM-002003,38.4,29.5,29.8,218000,38924.3,179075.7,17.86,200000,0.0,1,yes
SIM-001168,38.8,40.2,53.2,218000,46829.9,171170.1,21.48,200000,0.0,1,yes
SIM-001784,71.0,44.9,52.4,218000,68369.2,149630.8,31.36,200000,0.0,1,yes
SIM-001072,26.2,10.3,23.2,218000,24480.1,193519.9,11.23,200000,0.0,1,yes
SIM-001825,35.0,36.1,5.8,218000,33685.1,184314.9,15.45,200000,0.0,1,yes
SIM-002030,20.8,25.9,43.7,218000,30097.7,187902.3,13.81,200000,0.0,1,yes
SIM-002374,99.7,10.6,48.9,218000,74161.9,143838.1,34.02,200000,0.0,1,yes
SIM-001462,12.9,6.2,22.3,218000,14407.9,203592.1,6.61,200000,3592.1,0,no
SIM-000951,93.3,36.4,30.5,218000,74495.5,143504.5,34.17,200000,0.0,1,yes
SIM-000027,14.8,38.8,29.8,218000,26954.5,191045.5,12.36,200000,0.0,1,yes
SIM-001003,0.6,23.5,19.1,218000,12035.1,205964.9,5.52,200000,5964.9,0,no
SIM-000849,0.6,18.8,45.3,218000,14893.0,203107.0,6.83,200000,3107.0,0,no
SIM-001570,87.6,34.0,19.1,218000,68402.3,149597.7,31.38,200000,0.0,1,yes
SIM-001611,53.9,41.8,2.8,218000,46764.0,171236.0,21.45,200000,0.0,1,yes
SIM-002446,38.2,34.6,59.1,218000,46323.8,171676.2,21.25,200000,0.0,1,yes
SIM-001684,79.2,5.3,38.3,218000,57492.2,160507.8,26.37,200000,0.0,1,yes
SIM-001475,3.0,41.8,17.6,218000,19221.4,198778.6,8.82,200000,0.0,1,yes
SIM-002109,26.3,5.3,32.7,218000,23583.9,194416.1,10.82,200000,0.0,1,yes
SIM-000592,43.4,0.9,33.7,218000,33898.1,184101.9,15.55,200000,0.0,1,yes
SIM-001385,10.0,34.0,7.1,218000,17815.7,200184.3,8.17,200000,184.3,0,no
SIM-000287,35.6,27.9,41.4,218000,39289.6,178710.4,18.02,200000,0.0,1,yes
SIM-000466,63.6,11.1,35.3,218000,48608.6,169391.4,22.3,200000,0.0,1,yes
SIM-002488,58.2,46.1,16.0,218000,54400.9,163599.1,24.95,200000,0.0,1,yes
SIM-002318,5.5,10.5,51.2,218000,16867.3,201132.7,7.74,200000,1132.7,0,no
SIM-001598,74.1,14.4,25.8,218000,54773.6,163226.4,25.13,200000,0.0,1,yes
SIM-000888,12.6,35.7,47.3,218000,29134.9,188865.1,13.36,200000,0.0,1,yes
SIM-001993,48.2,45.6,40.4,218000,51990.6,166009.4,23.85,200000,0.0,1,yes
SIM-002352,80.5,39.3,39.5,218000,70221.1,147778.9,32.21,200000,0.0,1,yes
SIM-002338,83.5,11.8,41.9,218000,62284.3,155715.7,28.57,200000,0.0,1,yes
SIM-001995,99.1,4.3,17.5,218000,65400.8,152599.2,30.0,200000,0.0,1,yes
SIM-000686,38.7,49.7,50.1,218000,49601.3,168398.7,22.75,200000,0.0,1,yes
SIM-001337,52.3,46.1,49.2,218000,56372.7,161627.3,25.86,200000,0.0,1,yes
SIM-002008,29.4,48.7,55.5,218000,44056.6,173943.4,20.21,200000,0.0,1,yes
SIM-002379,96.0,12.1,50.6,218000,73238.4,144761.6,33.6,200000,0.0,1,yes
SIM-000363,32.1,6.1,2.5,218000,22050.6,195949.4,10.11,200000,0.0,1,yes
SIM-001613,57.1,34.0,40.0,218000,53949.6,164050.4,24.75,200000,0.0,1,yes
