travel_record_id,company_name,nse_code,sector,travel_date,month,quarter,origin_airport,destination_airport,flight_type,cabin_class,passengers,distance_km,ef_kgco2e_per_pkm,rfi_factor,emission_kgco2e,emission_tco2e,scope,category,data_source,cost_ksh,extraction_confidence,anomaly_flag,fy_year
TRV-0000808,Hammond Giles and Morton,WXM,Banking & Finance,2024-01-19,1,1,NBO,CDG,long_haul,economy,1,8648,0.3705,1.9,3204.084,3.204084,Scope 3,Cat 6 — Business travel,SAP travel booking export,89099.69,0.9897,0,2024
TRV-0006303,Stokes-Hale,OSR,Telecommunications,2024-11-14,11,4,NBO,AMS,long_haul,economy,3,11912,0.3705,1.9,13240.188,13.240188,Scope 3,Cat 6 — Business travel,SAP travel booking export,281672.61,0.8825,0,2024
TRV-0003522,Smith Quinn and Hopkins,NNP,Education,2024-09-29,9,3,NBO,BOM,long_haul,economy,2,7801,0.3705,1.9,5780.541,5.780541,Scope 3,Cat 6 — Business travel,SAP travel booking export,142408.87,0.88,0,2024
TRV-0004933,Knowles O'Brien and Berry,VYE,Energy & Petroleum,2024-03-26,3,1,NBO,ADD,short_haul,economy,1,2048,0.3002,1.9,614.81,0.61481,Scope 3,Cat 6 — Business travel,SAP travel booking export,8715.76,0.9554,0,2024
TRV-0002242,Byrne LLC,JHE,Insurance,2024-03-02,3,1,NBO,HKG,long_haul,business,4,6924,0.8151,1.9,22575.01,22.57501,Scope 3,Cat 6 — Business travel,SAP travel booking export,248364.96,0.9249,0,2024
TRV-0006290,Stephens-Barker,UIF,Media,2024-01-25,1,1,NBO,MBA,short_haul,economy,4,1723,0.3002,1.9,2068.978,2.068978,Scope 3,Cat 6 — Business travel,SAP travel booking export,28357.24,0.9782,0,2024
TRV-0006125,Ford Wright and Stephens,WQD,Insurance,2024-06-19,6,2,NBO,DAR,short_haul,economy,1,648,0.3002,1.9,194.53,0.19453,Scope 3,Cat 6 — Business travel,SAP travel booking export,5927.41,0.9001,0,2024
TRV-0004869,Walker Morgan and Manning,CSX,Logistics,2024-01-16,1,1,NBO,EBB,short_haul,economy,4,1795,0.3002,1.9,2155.436,2.155436,Scope 3,Cat 6 — Business travel,SAP travel booking export,72810.4,0.9894,0,2024
TRV-0005579,Brown-Mitchell,PXV,Agriculture,2024-07-01,7,3,NBO,MBA,short_haul,economy,1,1137,0.3002,1.9,341.327,0.341327,Scope 3,Cat 6 — Business travel,SAP travel booking export,8433.78,0.9573,0,2024
TRV-0001700,Jones-Matthews,YZP,Real Estate,2024-12-01,12,4,NBO,ADD,short_haul,economy,2,1555,0.3002,1.9,933.622,0.933622,Scope 3,Cat 6 — Business travel,SAP travel booking export,30416.99,0.8941,0,2024
TRV-0000525,Thomas-Brown,XUR,Agriculture,2024-09-08,9,3,NBO,DXB,long_haul,business,1,6031,0.8151,1.9,4915.868,4.915868,Scope 3,Cat 6 — Business travel,SAP travel booking export,33956.89,0.9287,0,2024
TRV-0003198,Sharp-Potter,XAO,Construction,2024-11-28,11,4,NBO,DAR,short_haul,economy,3,545,0.3002,1.9,490.827,0.490827,Scope 3,Cat 6 — Business travel,SAP travel booking export,16784.07,0.9049,0,2024
TRV-0006097,Chapman Ltd,ZCI,Telecommunications,2024-01-24,1,1,NBO,KIS,short_haul,economy,4,2397,0.3002,1.9,2878.318,2.878318,Scope 3,Cat 6 — Business travel,SAP travel booking export,60420.65,0.9705,0,2024
TRV-0006174,Jones Newman and Fuller,MKD,Construction,2024-01-13,1,1,NBO,ADD,short_haul,economy,2,3029,0.3002,1.9,1818.612,1.818612,Scope 3,Cat 6 — Business travel,SAP travel booking export,57490.19,0.9281,0,2024
TRV-0000475,Brown-Armstrong,LWU,Banking & Finance,2024-04-01,4,2,NBO,ADD,short_haul,economy,2,2431,0.3002,1.9,1459.572,1.459572,Scope 3,Cat 6 — Business travel,SAP travel booking export,25668.93,0.9398,0,2024
TRV-0000530,Thomas-Brown,XUR,Agriculture,2024-07-23,7,3,NBO,KIS,short_haul,economy,3,545,0.3002,1.9,490.827,0.490827,Scope 3,Cat 6 — Business travel,SAP travel booking export,13732.28,0.9291,0,2024
TRV-0002880,Porter-Francis,LRI,Telecommunications,2024-11-05,11,4,NBO,KIS,short_haul,economy,3,801,0.3002,1.9,721.381,0.721381,Scope 3,Cat 6 — Business travel,SAP travel booking export,14785.93,0.9393,0,2024
TRV-0005888,Thompson Ltd,KMP,Hospitality,2024-09-27,9,3,NBO,ADD,short_haul,economy,2,1561,0.3002,1.9,937.224,0.937224,Scope 3,Cat 6 — Business travel,SAP travel booking export,27516.28,0.9207,0,2024
TRV-0004509,Davies PLC,VFA,Insurance,2024-09-01,9,3,NBO,ELD,short_haul,economy,3,1010,0.3002,1.9,909.606,0.909606,Scope 3,Cat 6 — Business travel,SAP travel booking export,41755.52,0.9869,0,2024
